Embarked,Parch,SibSp,Sex,Pclass,Ticket,Cabin,Age,Fare
3,0,1,0,1,239,146,29.0,26.0
0,1,0,0,0,59,70,56.0,83.1583
3,1,1,1,1,240,146,60.0,39.0
3,0,0,0,2,332,146,22.0,7.75
3,0,0,1,1,112,146,36.0,13.0
3,1,0,1,2,486,118,6.0,12.475
3,1,1,0,0,1,134,39.0,79.65
0,1,1,0,0,81,124,40.0,134.5
3,2,1,0,1,561,146,33.0,27.75
3,2,0,1,2,538,146,40.5,14.5
3,0,0,1,2,382,146,28.0,7.8958
3,0,0,0,1,219,116,32.5,13.0
3,0,0,1,2,322,146,29.0,7.775
2,0,0,0,2,433,146,21.0,7.75
2,0,0,1,2,442,146,9999990.0,7.75
0,1,1,0,2,196,138,9999990.0,22.3583
3,1,2,1,1,235,146,23.0,11.5
3,1,1,1,2,458,146,18.0,20.2125
3,2,0,0,1,166,146,24.0,14.5
3,2,4,0,2,333,146,11.0,31.275
2,0,0,1,2,481,143,9999990.0,7.75
3,0,0,1,2,623,146,19.0,8.1583
3,0,0,1,1,105,146,27.0,13.0
3,0,0,0,0,0,40,33.0,86.5
0,1,0,1,0,608,34,36.0,512.3292
3,0,0,0,2,509,146,22.0,9.8375
3,0,0,1,0,3,71,28.0,26.55
3,0,0,1,2,272,146,9999990.0,7.25
3,0,0,1,2,268,146,21.0,8.6625
3,0,0,1,2,415,146,32.0,7.8542
3,0,0,1,2,319,146,33.0,7.775
0,0,1,1,0,84,86,49.0,89.1042
3,0,0,1,2,500,146,20.0,9.225
3,0,0,1,2,339,146,26.0,7.8875
0,0,1,0,2,193,146,9999990.0,14.4542
3,4,0,0,2,395,146,29.0,21.075
3,1,1,1,1,166,146,0.67,14.5
3,1,4,1,2,249,146,16.0,39.6875
0,0,1,0,1,132,146,14.0,30.0708
0,2,0,1,0,83,77,17.0,110.8833
2,0,0,0,2,285,146,9999990.0,7.8792
3,0,1,1,2,477,146,24.0,16.1
0,2,0,1,0,27,79,27.0,211.5
3,2,1,1,0,33,47,11.0,120.0
3,1,1,0,0,67,37,52.0,93.5
3,0,0,1,0,2,1,9999990.0,52.0
3,0,0,1,0,73,126,65.0,26.55
3,0,1,1,2,244,146,18.0,6.4958
3,0,0,1,2,357,146,36.0,7.4958
0,0,0,1,1,635,90,36.0,12.875
3,0,0,1,1,552,146,25.0,13.0
0,2,1,0,1,634,146,22.0,41.5792
0,0,0,0,0,63,93,32.0,76.2917
3,0,0,1,0,590,6,31.0,50.4958
3,0,0,0,1,570,146,35.0,21.0
3,0,0,1,2,528,146,9999990.0,8.05
3,0,0,1,2,80,146,9999990.0,56.4958
3,0,0,1,2,638,146,9999990.0,7.05
3,5,1,0,2,329,146,38.0,31.3875
3,1,1,1,1,237,146,0.83,18.75
2,0,0,1,2,287,146,31.0,7.75
3,0,0,1,0,47,146,9999990.0,31.0
0,0,0,1,2,191,146,20.0,7.2292
0,0,0,1,2,291,146,9999990.0,8.7125
0,0,0,0,0,614,146,30.0,106.425
0,0,0,1,2,199,146,9999990.0,7.2292
3,0,0,1,1,146,146,23.0,10.5
3,0,0,1,2,525,146,20.5,7.25
3,0,0,1,2,342,146,23.0,7.8542
3,0,0,1,2,511,146,32.0,8.3625
0,1,1,1,1,618,146,31.0,37.0042
3,0,0,1,2,411,146,22.0,7.5208
3,0,0,1,1,121,146,48.0,13.0
3,0,0,0,2,260,146,30.0,8.6625
3,0,2,1,2,246,146,28.0,7.925
3,0,0,1,2,665,146,32.0,7.925
3,0,0,1,2,617,146,9999990.0,8.05
3,0,0,1,2,518,146,21.0,8.05
2,0,0,1,2,446,146,40.5,7.75
0,0,0,0,0,47,146,30.0,31.0
3,0,0,0,2,677,146,9999990.0,7.55
3,0,1,0,0,89,19,17.0,57.0
0,0,1,1,0,614,82,50.0,106.425
0,0,0,1,2,182,146,9999990.0,7.225
3,0,0,1,2,474,146,25.0,7.25
3,0,0,1,2,430,146,44.0,8.05
3,0,0,0,0,38,49,58.0,26.55
2,0,0,1,2,452,146,9999990.0,7.75
3,1,2,0,1,114,144,4.0,39.0
3,0,0,1,2,400,146,21.0,7.8542
3,0,0,0,0,67,39,30.0,93.5
2,0,0,0,2,276,146,9999990.0,7.6292
3,1,1,1,0,54,102,37.0,52.5542
3,0,0,1,2,563,146,42.0,7.55
3,0,0,1,0,583,88,9999990.0,221.7792
3,2,0,0,2,344,146,27.0,11.1333
3,0,0,1,2,495,146,21.0,16.1
3,0,0,1,1,557,146,32.0,10.5
3,0,1,1,2,315,146,29.0,7.0458
3,0,0,1,0,85,129,54.0,51.8625
3,0,0,1,0,15,16,9999990.0,0.0
3,0,0,1,2,655,146,44.0,7.925
3,0,0,1,2,535,146,20.0,8.05
3,0,0,1,1,222,146,35.0,10.5
3,0,1,1,1,142,146,42.0,27.0
3,0,0,1,2,516,146,55.5,8.05
0,0,0,1,0,587,109,27.0,76.7292
0,1,0,1,0,612,91,23.0,63.3583
3,1,0,0,1,115,146,50.0,26.0
0,0,0,1,2,179,146,9999990.0,7.225
3,1,1,1,2,331,146,34.0,14.4
3,0,0,1,0,13,146,9999990.0,0.0
3,0,1,0,0,86,97,9999990.0,51.8625
3,1,1,1,1,237,146,3.0,18.75
3,0,0,1,2,330,146,18.0,7.75
3,0,0,0,0,0,42,16.0,86.5
3,0,0,1,2,80,146,26.0,56.4958
3,0,0,0,2,243,146,18.0,7.4958
3,0,0,1,1,148,146,27.0,26.0
3,1,3,1,2,395,146,2.0,21.075
2,0,0,0,2,478,146,9999990.0,7.75
3,0,0,1,2,107,146,18.0,8.3
3,1,1,0,1,240,146,40.0,39.0
3,0,0,1,1,253,146,26.0,10.5
3,0,2,1,0,605,146,50.0,133.65
3,2,5,0,2,566,146,16.0,46.9
3,2,1,1,2,548,146,1.0,20.575
3,0,0,1,2,265,146,17.0,8.6625
3,0,1,0,0,93,87,35.0,90.0
3,0,0,1,2,504,146,20.0,9.8458
3,0,2,1,2,302,146,16.0,18.0
3,0,0,1,1,120,146,24.0,13.0
3,1,1,0,1,571,146,45.0,26.25
3,0,1,1,1,198,146,44.0,26.0
2,0,0,0,2,288,146,9999990.0,7.75
3,0,0,1,2,374,146,24.0,7.8958
3,0,0,1,2,348,140,19.0,7.65
0,0,0,1,0,8,60,26.0,30.0
3,0,1,0,0,72,128,39.0,55.9
2,0,1,1,2,469,146,9999990.0,24.15
2,1,1,0,2,435,146,32.0,15.5
0,0,0,1,2,173,146,9999990.0,7.225
3,0,0,1,2,298,146,29.0,8.05
3,0,0,1,1,129,146,47.0,15.0
3,0,0,1,2,371,146,9999990.0,7.8958
3,0,0,1,2,542,146,28.0,22.525
3,0,0,1,2,664,146,32.0,7.925
3,0,1,1,1,230,146,34.0,21.0
0,1,1,1,0,83,75,49.0,110.8833
0,0,1,0,2,193,146,14.5,14.4542
3,0,0,1,1,135,146,9999990.0,0.0
2,0,0,1,2,463,146,9999990.0,7.75
3,0,0,1,2,354,146,28.0,7.8958
2,0,0,1,2,438,146,19.0,6.75
3,0,0,1,2,573,146,9999990.0,7.3125
0,0,1,0,0,610,73,18.0,227.525
3,0,0,1,2,375,146,9999990.0,7.8958
3,0,0,1,0,19,56,9999990.0,26.55
3,0,0,1,2,530,146,18.0,8.05
3,0,0,0,1,130,146,28.0,13.0
0,0,1,0,1,575,146,28.0,24.0
3,1,0,0,2,486,118,27.0,12.475
3,2,0,0,1,571,146,7.0,26.25
3,1,0,1,0,417,98,21.0,77.2875
3,4,1,1,2,337,146,40.0,27.9
3,0,0,1,0,6,133,47.0,38.5
3,2,1,0,2,675,146,9999990.0,23.45
3,0,0,1,2,373,146,19.0,7.8958
3,2,6,0,2,568,146,9999990.0,69.55
0,2,0,1,0,416,108,58.0,113.275
2,0,2,1,0,92,78,44.0,90.0
2,0,0,1,2,440,146,9999990.0,15.5
3,0,0,1,2,520,146,16.0,8.05
3,2,1,0,0,37,62,25.0,151.55
3,2,1,0,0,33,47,36.0,120.0
3,5,1,1,2,333,146,39.0,31.275
3,1,0,1,0,588,85,38.0,153.4625
3,0,0,1,2,427,146,30.5,8.05
3,0,1,0,2,377,146,18.0,17.8
3,0,0,1,2,519,146,39.0,24.15
3,0,1,1,0,89,19,31.0,57.0
3,1,0,0,1,117,146,34.0,23.0
3,2,2,0,2,676,146,21.0,34.375
2,0,1,1,2,459,146,9999990.0,15.5
0,1,2,0,2,194,146,5.0,19.2583
3,2,4,0,2,329,146,5.0,31.3875
3,0,0,1,0,11,146,45.0,26.55
3,0,0,1,0,579,120,35.0,26.2875
3,2,0,0,0,453,76,31.0,164.8667
3,0,0,1,2,352,146,19.0,7.8958
0,2,0,0,2,203,146,9999990.0,15.2458
3,0,0,0,1,572,146,50.0,10.5
0,1,0,1,0,585,36,24.0,247.5208
3,0,0,1,1,119,146,23.0,13.0
3,0,0,1,1,621,146,18.0,73.5
3,0,0,1,2,506,146,29.0,9.4833
3,0,0,1,0,10,146,9999990.0,26.55
0,0,0,0,0,81,127,41.0,134.5
3,0,2,1,2,245,146,37.0,7.925
3,0,1,1,0,49,55,37.0,53.1
2,0,0,0,2,436,146,30.5,7.75
0,0,0,0,0,59,72,24.0,83.1583
0,0,0,1,0,601,146,9999990.0,27.7208
3,2,0,0,2,616,145,24.0,16.7
3,0,0,1,2,314,146,28.0,9.5
3,1,1,0,0,453,146,45.0,164.8667
3,0,1,1,0,678,122,46.0,61.175
3,0,0,1,2,292,146,26.0,8.05
3,2,1,0,1,106,146,24.0,65.0
0,3,0,0,2,194,146,24.0,19.2583
3,0,0,1,2,499,146,9999990.0,8.1125
2,1,4,1,2,480,146,7.0,29.125
3,1,1,0,2,423,146,31.0,20.525
3,2,3,0,0,95,63,24.0,263.0
2,0,0,0,2,278,146,15.0,8.0292
3,1,1,0,1,167,146,26.0,26.0
3,2,1,1,2,675,146,9999990.0,23.45
0,2,2,0,0,602,35,21.0,262.375
3,0,0,1,2,362,146,9999990.0,7.8958
3,0,0,1,1,679,146,30.0,10.5
3,0,0,1,1,226,146,46.0,26.0
3,1,0,0,0,141,32,15.0,211.3375
3,0,1,0,2,476,146,9999990.0,16.1
3,1,1,0,1,158,146,22.0,29.0
0,0,1,0,0,454,96,54.0,78.2667
3,0,0,1,2,658,146,22.0,7.125
3,0,1,0,0,605,146,9999990.0,133.65
3,0,0,1,0,580,120,42.0,26.2875
2,0,0,1,2,450,146,9999990.0,7.7375
3,1,0,0,1,117,146,18.0,23.0
3,0,0,1,0,12,11,39.0,0.0
3,0,1,0,2,300,146,36.0,17.4
0,1,0,0,2,211,146,45.0,14.4542
2,0,0,1,2,479,146,29.0,7.75
3,0,3,0,1,252,146,30.0,21.0
3,1,3,0,2,488,146,9999990.0,25.4667
3,0,0,1,0,98,51,9999990.0,30.5
3,0,0,1,2,254,146,9999990.0,7.775
2,0,0,1,2,487,146,9999990.0,6.8583
3,0,0,1,0,501,146,64.0,26.0
3,0,0,1,2,294,146,24.5,8.05
3,1,1,0,2,344,146,1.0,11.1333
3,0,0,1,2,387,146,26.0,7.8958
3,0,0,1,2,409,146,20.0,7.8542
3,0,0,0,1,553,142,29.0,10.5
3,0,0,1,2,321,146,51.0,7.75
3,0,0,1,2,402,146,24.0,7.7958
0,0,0,1,1,631,146,9999990.0,13.8625
3,0,0,1,2,539,146,9999990.0,8.05
3,0,0,0,0,0,40,30.0,86.5
0,0,1,0,0,4,104,60.0,75.25
3,0,1,0,0,457,80,35.0,83.475
0,0,1,0,0,416,103,23.0,113.275
2,0,0,1,2,471,146,9999990.0,7.75
2,0,0,0,2,419,146,9999990.0,7.7333
3,0,0,1,1,151,146,9999990.0,13.0
0,0,0,1,2,216,146,26.0,18.7875
3,1,1,1,1,558,146,19.0,36.75
2,0,0,0,2,283,146,9999990.0,7.8792
3,0,0,1,1,170,146,39.0,26.0
3,2,6,0,2,568,146,9999990.0,69.55
3,0,0,1,2,422,146,9999990.0,7.25
3,0,1,1,2,377,146,25.0,17.8
2,0,0,1,2,467,146,9999990.0,7.75
3,1,1,0,2,551,146,35.0,20.25
3,0,0,1,1,136,146,9999990.0,0.0
3,0,0,0,2,432,146,5.0,12.475
3,0,1,0,1,53,146,27.0,21.0
3,0,0,1,2,389,146,40.0,7.8958
3,0,0,1,2,266,146,20.0,8.6625
3,0,0,0,1,560,142,34.0,10.5
3,0,0,1,1,139,146,16.0,26.0
3,0,0,1,2,311,146,29.0,9.5
0,1,0,0,0,585,36,50.0,247.5208
3,0,0,1,2,370,146,9999990.0,7.8958
3,0,0,1,2,425,146,44.0,8.05
2,0,0,0,2,77,146,9999990.0,7.75
3,0,0,1,1,225,146,30.0,13.0
3,0,0,0,2,326,146,45.0,7.75
3,0,0,1,1,164,146,52.0,13.0
3,0,1,1,2,668,146,28.0,15.85
3,1,3,0,2,488,146,9999990.0,25.4667
2,0,0,0,2,76,146,9999990.0,7.75
0,0,1,1,2,204,146,26.0,14.4542
3,0,0,0,0,71,114,21.0,77.9583
3,0,0,1,2,651,146,9999990.0,8.05
3,0,0,1,2,521,146,9999990.0,7.25
3,1,4,1,2,249,146,14.0,39.6875
0,0,0,1,2,205,146,34.5,6.4375
2,5,0,0,2,480,146,39.0,29.125
3,0,0,1,2,317,146,74.0,7.775
3,0,0,1,0,34,9,9999990.0,50.0
3,0,0,1,2,305,146,20.0,9.5
3,0,0,1,1,138,146,9999990.0,0.0
2,0,0,1,2,66,146,9999990.0,7.75
3,2,5,1,2,566,146,9.0,46.9
3,0,1,1,2,247,146,32.0,15.85
3,0,0,1,1,546,146,36.0,10.5
3,0,0,1,2,388,146,38.0,7.8958
0,2,0,0,2,196,146,9999990.0,22.3583
0,1,0,1,0,29,23,65.0,61.9792
3,0,0,1,2,365,146,27.0,7.8958
3,0,2,1,2,399,146,41.0,14.1083
3,3,2,0,1,237,146,24.0,18.75
3,2,1,1,1,561,146,36.0,27.75
3,0,0,1,2,529,146,43.0,8.05
0,0,1,1,0,64,31,25.0,91.0792
3,0,0,1,2,80,146,32.0,56.4958
3,2,0,1,2,423,146,9.0,20.525
3,0,0,1,2,420,146,9999990.0,14.5
3,0,0,0,1,143,146,34.0,13.0
3,2,0,1,0,289,10,4.0,81.8583
3,0,0,1,2,364,146,9999990.0,7.8958
3,1,0,1,1,155,146,28.0,33.0
3,0,1,1,2,396,146,36.0,15.55
0,0,0,0,0,604,28,44.0,27.7208
3,0,0,1,2,472,146,35.0,8.05
3,0,0,1,2,524,146,22.0,7.25
3,0,1,0,0,71,92,51.0,77.9583
0,2,0,0,2,185,146,29.0,15.2458
3,0,0,1,1,674,146,29.0,10.5
0,0,0,1,2,183,146,20.0,4.0125
3,0,0,0,1,673,146,50.0,10.5
3,0,0,1,2,514,146,21.0,8.05
3,1,1,1,2,307,146,36.0,24.15
0,0,0,0,0,610,146,42.0,227.525
3,0,2,1,1,621,146,24.0,73.5
3,0,0,1,2,620,146,9999990.0,7.55
0,0,0,1,2,176,146,9999990.0,14.4583
3,1,0,0,2,484,146,18.0,9.35
3,1,1,0,2,331,146,28.0,14.4
3,0,0,0,0,14,30,19.0,30.0
0,0,0,0,2,175,146,9999990.0,7.2292
3,0,1,0,0,51,137,33.0,53.1
3,0,0,1,2,363,146,9999990.0,7.8958
0,0,0,0,0,589,146,9999990.0,79.2
0,2,1,0,1,634,146,3.0,41.5792
3,0,2,1,2,270,146,26.0,8.6625
3,0,0,1,2,531,146,50.0,8.05
3,0,0,1,2,407,146,48.0,7.8542
3,1,0,0,0,28,123,22.0,55.0
3,2,4,0,2,333,146,9.0,31.275
0,0,0,1,0,607,12,71.0,34.6542
3,0,0,1,2,526,146,22.0,7.25
2,0,0,0,2,282,146,19.0,7.8792
3,2,0,0,1,556,146,8.0,26.25
0,1,1,1,0,74,29,60.0,79.2
3,0,0,1,0,94,71,9999990.0,35.5
3,0,0,1,2,649,146,21.0,7.25
3,1,0,0,1,115,146,25.0,26.0
0,0,0,1,2,172,146,40.0,7.225
3,1,0,0,1,162,146,41.0,19.5
3,0,0,0,1,619,136,57.0,10.5
